,District,Count,Minimum,Maximum,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),Month
896,HANUMANGARH,10919,-0.0996,0.7781,0.2722317,0.12063,0.0145516,0.3636,0.6452,0.222,-0.0996,0.1752,2012,Rabi       ,247880,896383,3.6161973535581735,01
898,HANUMANGARH,10919,-0.0239,0.7683,0.263419,0.1381624,0.0190888,0.3877,0.7529,0.198,-0.0239,0.14355,2013,Rabi       ,234125,884340,3.777213027229045,01
900,HANUMANGARH,10919,-0.0418,0.8219,0.3170679,0.18247570000000002,0.0332974,0.49465,0.8219,0.2366,-0.0418,0.1486,2014,Rabi       ,247706,885386,3.5743421636940567,01
902,HANUMANGARH,10919,-0.0452,0.7324,0.30391090000000004,0.17364849999999998,0.0301538,0.47565,0.7324,0.2355,-0.0452,0.1391,2015,Rabi       ,255214,887259,3.4765295007327186,01
904,HANUMANGARH,10919,0.1018,0.8236,0.3561118,0.2055635,0.042256300000000004,0.55825,0.8236,0.2822,0.1018,0.159,2016,Rabi       ,243714,973765,3.995523441410834,01
906,HANUMANGARH,10918,-0.0744,0.8614,0.3622268,0.2122084,0.0450324,0.5769,0.8614,0.28195,-0.0744,0.1615,2017,Rabi       ,240237,969073,4.033820768657617,01
908,HANUMANGARH,10919,-0.0919,0.8122,0.3566861,0.2162758,0.046775199999999996,0.58065,0.8122,0.2656,-0.0919,0.1542,2018,Rabi       ,244534,1079259,4.413533496364513,01
910,HANUMANGARH,10919,0.0704,0.8439,0.3700246,0.2172236,0.0471861,0.59235,0.8439,0.2962,0.0704,0.1599,2019,Rabi       ,245123,1195063,4.87536053328329,01
912,JAIPUR,13601,0.0506,0.732,0.33566009999999996,0.1177875,0.0138739,0.4245,0.6974,0.3092,0.0506,0.2394,2001,Rabi       ,170245,354096,2.0799201151281976,01
914,JAIPUR,13601,-0.08900000000000001,0.6990000000000001,0.3395887,0.12258989999999999,0.015028299999999998,0.4318,0.6990000000000001,0.3025,-0.0419,0.2414,2002,Rabi       ,161348,496017,3.0742060639115447,01
916,JAIPUR,13601,-0.0812,0.7038,0.3042621,0.1227896,0.0150773,0.3939,0.6737,0.2635,-0.0634,0.2067,2003,Rabi       ,145798,425900,2.921164899381336,01
918,JAIPUR,13588,-0.1854,0.7455,0.369167,0.1326578,0.0175981,0.468125,0.7455,0.3363,-0.0303,0.2606,2004,Rabi       ,157519,469499,2.9805864689339066,01
920,JAIPUR,13601,0.0443,0.7463,0.4051409,0.12353410000000001,0.0152607,0.4967,0.7463,0.3957,0.0443,0.3103,2005,Rabi       ,155445,464550,2.988516838753257,01
922,JAIPUR,13601,0.0323,0.7122,0.3532445,0.11841800000000001,0.014022799999999998,0.4372,0.6973,0.3283,0.0323,0.2623,2006,Rabi       ,139818,387943,2.7746284455506443,01
924,JAIPUR,13601,0.02,0.7709,0.3396239,0.14497100000000002,0.0210166,0.4498,0.7709,0.2889,0.02,0.2178,2007,Rabi       ,136066,352372,2.5897138153543136,01
926,JAIPUR,13601,0.0618,0.7362,0.33200820000000003,0.1315056,0.017293700000000002,0.4246,0.7201,0.2877,0.0618,0.2271,2008,Rabi       ,132008,288950,2.188882491970184,01
928,JAIPUR,13585,-0.184,0.7664,0.3804668,0.1323127,0.017506599999999997,0.4743,0.7664,0.3496,-0.0163,0.278,2009,Rabi       ,136789,425084,3.1075890605238725,01
930,JAIPUR,13601,-0.019,0.7440000000000001,0.3530374,0.15117779999999997,0.0228547,0.4734,0.7440000000000001,0.3086,-0.019,0.225,2010,Rabi       ,139226,447502,3.214212862540043,01
932,JAIPUR,13570,-0.1756,0.7448,0.42640029999999995,0.11566780000000002,0.013378999999999999,0.508875,0.7448,0.4206,0.0967,0.3431,2011,Rabi       ,158861,590946,3.7198934917947137,01
934,JAIPUR,13596,-0.1788,0.7324,0.4010007,0.1232562,0.0151921,0.489025,0.7324,0.3881,0.0397,0.3061,2012,Rabi       ,148076,461366,3.1157378643399336,01
936,JAIPUR,13567,-0.1847,0.7124,0.38717090000000004,0.1106414,0.0122415,0.46925,0.7124,0.3818,0.063,0.3041,2013,Rabi       ,151092,510277,3.3772602123209703,01
938,JAIPUR,13601,-0.0837,0.7778,0.43833900000000003,0.1244305,0.0154829,0.5353,0.7778,0.4349,0.0617,0.3435,2014,Rabi       ,153563,473829,3.0855674869597496,01
940,JAIPUR,13601,-0.1707,0.7563,0.41426369999999996,0.12656869999999998,0.0160196,0.5093,0.7563,0.4,0.0343,0.318,2015,Rabi       ,157649,502927,3.19016930015414,01
942,JAIPUR,13601,0.063,0.7413,0.3596228,0.128839,0.0165995,0.447,0.7284,0.3218,0.063,0.2582,2016,Rabi       ,150350,477120,3.173395410708347,01
944,JAIPUR,13601,0.0293,0.7802,0.4225603,0.1269835,0.016124799999999998,0.5167,0.7802,0.4125,0.0514,0.3249,2017,Rabi       ,157232,569358,3.6211331026763,01
946,JAIPUR,13601,-0.0328,0.7657,0.35148379999999996,0.1234107,0.015230200000000003,0.4209,0.6635,0.3161,0.047,0.259,2018,Rabi       ,140904,512683,3.638526940328167,01
948,JAIPUR,13601,0.0452,0.7507,0.3906766,0.11795710000000001,0.013913900000000002,0.4669,0.7120000000000001,0.3708,0.0604,0.303,2019,Rabi       ,139519,530407,3.801682924906285,01
950,JAISALMER,45851,-0.1321,0.4222,0.10286700000000001,0.02214,0.0004902,0.1158,0.1575,0.1005,0.0474,0.0879,2001,Rabi       ,11003,26426,2.4017086249204764,01
952,JAISALMER,45852,0.0023,0.4774,0.1245177,0.0279353,0.0007803999999999999,0.14,0.1911,0.1215,0.0556,0.1059,2002,Rabi       ,11448,31975,2.7930642907058,01
954,JAISALMER,45853,-0.0012,0.3889,0.0854227,0.0172858,0.0002988,0.0915,0.1144,0.0836,0.0534,0.0762,2003,Rabi       ,7486,20280,2.7090569062249528,01
956,JAISALMER,45853,0.0491,0.5799,0.14323970000000003,0.0409049,0.0016732,0.1645,0.2396,0.1375,0.0491,0.1144,2004,Rabi       ,5377,15023,2.7939371396689605,01
958,JAISALMER,45853,0.0142,0.5442,0.0942192,0.0266726,0.0007113999999999999,0.1014,0.133,0.0897,0.0489,0.0803,2005,Rabi       ,4821,13686,2.838830118232732,01
960,JAISALMER,45853,-0.0585,0.5064,0.0978268,0.0313325,0.0009817,0.1066,0.1468,0.0927,0.0405,0.0798,2006,Rabi       ,13015,35942,2.7615827890895117,01
962,JAISALMER,45838,-0.1988,0.5783,0.1260935,0.038955000000000004,0.0015175,0.1392,0.1911,0.1208,0.0545,0.1046,2007,Rabi       ,13030,19197,1.4732924021488871,01
964,JAISALMER,45850,-0.145,0.53,0.1137299,0.0330789,0.0010942,0.1247,0.1689,0.1083,0.0532,0.0952,2008,Rabi       ,9696,8987,0.9268770627062708,01
966,JAISALMER,45853,0.0358,0.604,0.10511860000000002,0.040259199999999995,0.0016208,0.1091,0.1439,0.0959,0.0511,0.0859,2009,Rabi       ,9521,7878,0.827434093057452,01
968,JAISALMER,45853,0.0374,0.5873,0.0959233,0.030575900000000003,0.0009349,0.1013,0.1313,0.0908,0.0525,0.0813,2010,Rabi       ,10768,12725,1.1817421991084696,01
970,JAISALMER,45849,-0.1695,0.6003,0.15477779999999997,0.0379153,0.0014376,0.1733,0.2351,0.1523,0.0703,0.1321,2011,Rabi       ,15127,51937,3.433397236729028,01
972,JAISALMER,45842,-0.1638,0.599,0.15589289999999997,0.040411199999999994,0.0016331,0.175,0.24100000000000002,0.1509,0.0651,0.131,2012,Rabi       ,14076,18403,1.3074026712134128,01
974,JAISALMER,45853,0.0571,0.6206,0.14106329999999997,0.03653630000000001,0.0013349,0.1579,0.217,0.1364,0.0606,0.1185,2013,Rabi       ,13424,17467,1.3011769964243147,01
976,JAISALMER,45853,0.0558,0.6068,0.12679749999999998,0.0379447,0.0014398,0.1375,0.1834,0.1215,0.0622,0.1069,2014,Rabi       ,13709,18128,1.322342986359326,01
978,JAISALMER,45853,0.045,0.654,0.11049729999999999,0.0423969,0.0017975,0.11800000000000001,0.1607,0.1019,0.0473,0.0895,2015,Rabi       ,10318,10022,0.9713122698197324,01
980,JAISALMER,45851,-0.1722,0.6936,0.141853,0.047883800000000004,0.0022929,0.1552,0.214,0.1346,0.059000000000000004,0.11599999999999999,2016,Rabi       ,12514,17427,1.3926002876778008,01
982,JAISALMER,45853,0.0496,0.727,0.1291687,0.04745069999999999,0.0022516,0.1401,0.1939,0.1209,0.052000000000000005,0.1042,2017,Rabi       ,9989,13824,1.383922314546001,01
984,JAISALMER,45853,0.0541,0.6458,0.125497,0.042084300000000005,0.0017710999999999998,0.1359,0.1855,0.1165,0.0541,0.1028,2018,Rabi       ,8983,16116,1.7940554380496494,01
986,JAISALMER,45853,0.0416,0.6063,0.10971680000000002,0.042099199999999996,0.0017722999999999999,0.1185,0.1663,0.0999,0.0416,0.0866,2019,Rabi       ,7882,14209,1.8027150469424005,01
988,JHALAWAR,7796,0.1588,0.7296,0.3377733,0.1074872,0.0115535,0.38799999999999996,0.5821,0.3122,0.1588,0.2586,2001,Rabi       ,45144,86361,1.9130116959064327,01
990,JHALAWAR,7796,0.1533,0.7163,0.36414709999999995,0.12335299999999999,0.015216,0.4482,0.7163,0.33905,0.1533,0.2645,2002,Rabi       ,48161,121599,2.524843753244326,01
992,JHALAWAR,7796,0.1464,0.6805,0.29942540000000006,0.0814068,0.0066271,0.3339,0.4676,0.28535,0.1464,0.244575,2003,Rabi       ,21558,48080,2.2302625475461544,01
994,JHALAWAR,7796,0.0955,0.743,0.3937367,0.1213742,0.0147317,0.465825,0.7091,0.36725,0.0955,0.3036,2004,Rabi       ,34651,96196,2.776139216761421,01
996,JHALAWAR,7796,-0.0198,0.7657,0.42385200000000006,0.138953,0.0193079,0.5282,0.7657,0.4081,0.0324,0.3117,2005,Rabi       ,49431,161194,3.260990066962028,01
998,JHALAWAR,7795,-0.0135,0.7377,0.36821170000000003,0.1224018,0.014982200000000001,0.43145,0.6629999999999999,0.34,0.1446,0.27699999999999997,2006,Rabi       ,37166,102947,2.7699241241995374,01
1000,JHALAWAR,7796,-0.0168,0.7811,0.4385924,0.1454142,0.0211453,0.5552,0.7811,0.42815,-0.0168,0.3174,2007,Rabi       ,72456,235175,3.245762945787789,01
1002,JHALAWAR,7795,0.1244,0.7686,0.4002672,0.1323931,0.017527900000000003,0.4924,0.7686,0.3751,0.1244,0.29405,2008,Rabi       ,57376,164458,2.866320412716118,01
1004,JHALAWAR,7796,-0.0729,0.7891,0.4620373,0.1382934,0.0191251,0.5696,0.7891,0.4549,0.18,0.3526,2009,Rabi       ,58810,163674,2.7830981125658902,01
1006,JHALAWAR,7796,0.1098,0.8212,0.5187188,0.1387659,0.019256,0.6355,0.8212,0.5347,0.1098,0.4106,2010,Rabi       ,67915,226609,3.3366561142604727,01
1008,JHALAWAR,7796,-0.1062,0.8035,0.4480222,0.1293646,0.0167352,0.5413,0.8035,0.43615,0.1368,0.3448,2011,Rabi       ,70511,222286,3.1525010282083645,01
1010,JHALAWAR,7795,-0.0536,0.8013,0.4893063,0.13847679999999998,0.0191758,0.60975,0.8013,0.4941,0.0212,0.37305,2012,Rabi       ,87563,330747,3.7772460970958055,01
1012,JHALAWAR,7795,-0.1158,0.8118,0.4853221,0.1455996,0.0211993,0.6112,0.8118,0.4855,0.0667,0.3649,2013,Rabi       ,86055,279018,3.2423217709604324,01
1014,JHALAWAR,7796,-0.0073,0.8475,0.5772366,0.1588764,0.0252417,0.7138,0.8475,0.61795,0.0732,0.450975,2014,Rabi       ,106834,329955,3.0884830671883483,01
1016,JHALAWAR,7796,-0.021,0.8346,0.5316247,0.14578310000000003,0.021252700000000003,0.6516,0.8346,0.5482,0.1133,0.4204,2015,Rabi       ,112534,352790,3.1349636554285816,01
1018,JHALAWAR,7795,-0.0728,0.831,0.48658690000000004,0.1519326,0.0230835,0.61745,0.831,0.4922,-0.026000000000000002,0.3589,2016,Rabi       ,102108,354563,3.4724311513299644,01
1020,JHALAWAR,7795,-0.11199999999999999,0.8411,0.5391282,0.1578348,0.024911799999999998,0.6741,0.8411,0.5698,0.0089,0.4063,2017,Rabi       ,109041,417546,3.8292568850248982,01
1022,JHALAWAR,7795,-0.1094,0.8451,0.5219364000000001,0.1523766,0.0232186,0.6509,0.8451,0.5373,0.0439,0.39905,2018,Rabi       ,102202,413256,4.043521653196612,01
1024,JHALAWAR,7796,-0.1906,0.8343,0.5532012,0.1592135,0.0253489,0.6887,0.8343,0.58875,0.0851,0.4215,2019,Rabi       ,105638,426073,4.03333080898919,01
1026,JODHPUR,27279,0.0611,0.7252,0.16494979999999998,0.06716860000000001,0.004511600000000001,0.1895,0.2955,0.1457,0.0611,0.1188,2001,Rabi       ,46851,101724,2.171223666517257,01
1028,JODHPUR,27279,0.0649,0.6872,0.1783483,0.0657734,0.0043261,0.2079,0.3215,0.1635,0.0649,0.1321,2002,Rabi       ,38463,104487,2.7165587707667114,01
1030,JODHPUR,27279,0.0532,0.7205,0.1364995,0.0662051,0.0043831,0.1573,0.2548,0.1184,0.0532,0.0922,2003,Rabi       ,40643,80102,1.9708682922028395,01
1032,JODHPUR,27279,0.068,0.7340000000000001,0.18885929999999998,0.07504010000000001,0.005631000000000001,0.214,0.326,0.1768,0.068,0.1393,2004,Rabi       ,36836,93104,2.527527418829406,01
1034,JODHPUR,27279,0.0557,0.7476,0.1675543,0.0831534,0.0069145,0.1946,0.3199,0.1527,0.0557,0.111,2005,Rabi       ,34403,76125,2.2127430747318546,01
1036,JODHPUR,27279,0.0659,0.7182,0.16497089999999998,0.0752834,0.0056676,0.1906,0.3056,0.1493,0.0659,0.1139,2006,Rabi       ,35843,75319,2.1013587032335463,01
1038,JODHPUR,27279,0.0342,0.7216,0.1684725,0.0765118,0.0058541,0.1919,0.3105,0.1601,0.0342,0.1128,2007,Rabi       ,37751,76355,2.022595427935684,01
1040,JODHPUR,27279,0.0576,0.7133,0.17064300000000002,0.0750938,0.0056391,0.1959,0.3097,0.1533,0.0576,0.12,2008,Rabi       ,41824,86363,2.064914881407804,01
1042,JODHPUR,27279,0.0642,0.7043,0.1750409,0.081704,0.006675499999999999,0.1996,0.3209,0.1574,0.0642,0.1187,2009,Rabi       ,41501,81665,1.967783908821474,01
1044,JODHPUR,27279,0.0467,0.7049,0.1602212,0.07726369999999999,0.0059697,0.1815,0.2929,0.1431,0.0467,0.1072,2010,Rabi       ,53143,132805,2.4990120994298404,01
1046,JODHPUR,27279,0.0801,0.6932,0.20751,0.0715873,0.0051247,0.2328,0.3409,0.1935,0.0801,0.1607,2011,Rabi       ,59285,149046,2.5140592055325968,01
1048,JODHPUR,27279,0.071,0.6543,0.2065951,0.051032999999999995,0.0026044,0.2292,0.3154,0.2008,0.0914,0.1717,2012,Rabi       ,50154,136352,2.7186665071579537,01
1050,JODHPUR,27279,0.0634,0.6206,0.21069570000000004,0.0636635,0.004053,0.2374,0.3451,0.2026,0.0634,0.1656,2013,Rabi       ,60974,133164,2.183947256207564,01
1052,JODHPUR,27279,0.0695,0.7047,0.2224211,0.0815308,0.0066473,0.263,0.4194,0.2088,0.0695,0.1587,2014,Rabi       ,67879,152460,2.2460554810766222,01
1054,JODHPUR,27279,0.0667,0.6799,0.2184658,0.077864,0.0060628,0.2553,0.40299999999999997,0.2152,0.0667,0.1567,2015,Rabi       ,67781,130806,1.9298328440123336,01
1056,JODHPUR,27279,0.0779,0.6497,0.224782,0.07432530000000001,0.0055242,0.25285,0.3729,0.20800000000000002,0.0779,0.1728,2016,Rabi       ,69216,136221,1.9680565187239945,01
1058,JODHPUR,27279,0.0762,0.7084,0.24505500000000002,0.0945328,0.008936399999999999,0.2925,0.4759,0.2307,0.0762,0.1702,2017,Rabi       ,77939,180677,2.31818473421522,01
1060,JODHPUR,27279,0.0644,0.6724,0.2264371,0.0845695,0.0071519999999999995,0.2645,0.4173,0.2201,0.0644,0.1626,2018,Rabi       ,66071,150969,2.2849510375202438,01
1062,JODHPUR,27279,0.0607,0.6055,0.2011105,0.0681302,0.0046417,0.2318,0.3531,0.1916,0.0607,0.1509,2019,Rabi       ,63675,149730,2.351472320376914,01
