,District,FNCount,FNMinimum,FNMaximum,FNMean,FNStandard Deviation,FNVariance,FNUpper Quartile,FNUpper 1.5 IQR,FNMedian,FNLower 1.5 IQR,FNLower Quartile,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),JNCount,JNMinimum,JNMaximum,JNMean,JNStandard Deviation,JNVariance,JNUpper Quartile,JNUpper 1.5 IQR,JNMedian,JNLower 1.5 IQR,JNLower Quartile,FECount,FEMinimum,FEMaximum,FEMean,FEStandard Deviation,FEVariance,FEUpper Quartile,FEUpper 1.5 IQR,FEMedian,FELower 1.5 IQR,FELower Quartile,JECount,JEMinimum,JEMaximum,JEMean,JEStandard Deviation,JEVariance,JEUpper Quartile,JEUpper 1.5 IQR,JEMedian,JELower 1.5 IQR,JELower Quartile
1,KARAULI,6352,0.1428,0.8268,0.3365811,0.134011,0.017959,0.40035,0.6445,0.28305,0.1428,0.2371,2001,Rabi       ,61886,118884,1.921016062,6352,0.1662,0.7726,0.3515314,0.1219804,0.0148792,0.42065,0.6641,0.309,0.1662,0.258,6352,0.0664,0.6411,0.218823,0.1017398,0.010351,0.2617,0.4368,0.1756,0.0664,0.1449,6352,0.0863,0.602,0.2260425,0.0907718,0.0082395,0.27255,0.4449,0.18965,0.0863,0.1576
3,KARAULI,6352,0.1581,0.8113,0.3512688,0.1459303,0.0212957,0.42895,0.7125,0.2942,0.1581,0.239275,2002,Rabi       ,55324,174640,3.15667703,6352,0.1708,0.7927,0.3425282,0.1250202,0.01563,0.413125,0.665,0.2952,0.1708,0.2451,6352,0.066,0.6401,0.2315654,0.1138304,0.0129573,0.2855,0.4957,0.18475,0.066,0.1453,6352,0.0897,0.6378,0.2216874,0.0941211,0.0088588,0.271225,0.4538,0.1825,0.0897,0.1495
5,KARAULI,6352,0.121,0.7956,0.292674,0.1501092,0.0225328,0.349625,0.5884,0.2216,0.121,0.19,2003,Rabi       ,52941,131287,2.479873822,6352,0.1246,0.8198,0.3077523,0.1373013,0.0188516,0.36125,0.5864,0.2495,0.1246,0.2111,6352,0.0536,0.6672,0.1885465,0.1158169,0.0134136,0.226325,0.3967,0.1296,0.0536,0.1127,6352,0.0555,0.6383,0.1916352,0.1012159,0.0102447,0.2245,0.3722,0.1443,0.0555,0.1257
7,KARAULI,6352,0.1579,0.8217,0.3839796,0.1581149,0.0250003,0.513725,0.8217,0.33955,0.1579,0.241175,2004,Rabi       ,63492,231030,3.638726139,6352,0.1737,0.7954,0.400307,0.1506488,0.0226951,0.525575,0.7954,0.3639,0.1737,0.2638,6352,0.0682,0.6254,0.241999,0.1159683,0.0134486,0.3307,0.6139,0.20655,0.0682,0.138,6352,0.0688,0.606,0.238486,0.1071153,0.0114737,0.3201,0.577,0.20825,0.0688,0.1428
9,KARAULI,6352,0.1072,0.7463,0.3541805,0.138665,0.019228,0.453325,0.7463,0.3162,0.1072,0.2341,2005,Rabi       ,50984,167098,3.277459595,6352,0.1114,0.779,0.3994804,0.1539516,0.0237011,0.52835,0.779,0.36225,0.1114,0.261675,6352,0.0505,0.6241,0.2354271,0.1096323,0.0120192,0.307025,0.549,0.2006,0.0505,0.1425,6352,0.0512,0.5859,0.2539873,0.1123909,0.0126317,0.345225,0.5859,0.2201,0.0512,0.154
11,KARAULI,6352,0.1497,0.8085,0.3459584,0.1374751,0.0188994,0.43025,0.7291,0.3063,0.1497,0.2299,2006,Rabi       ,51891,170279,3.28147463,6352,0.1355,0.7986,0.3769996,0.1478994,0.0218742,0.488925,0.7986,0.33825,0.1355,0.2447,6352,0.0637,0.6363,0.2344114,0.1066111,0.0113659,0.2959,0.5227,0.2001,0.0637,0.144675,6352,0.0419,0.632,0.2451624,0.1080425,0.0116732,0.321125,0.5745,0.21425,0.0419,0.15
13,KARAULI,6352,0.1271,0.7927,0.3384214,0.1487087,0.0221143,0.41725,0.701,0.2748,0.1271,0.2273,2007,Rabi       ,53423,163549,3.061396777,6352,0.1514,0.7867,0.3493915,0.1446395,0.0209206,0.442325,0.7632,0.305,0.1514,0.227,6352,0.0697,0.5734,0.2077965,0.106776,0.0114011,0.258875,0.4522,0.15755,0.0697,0.1299,6352,0.0786,0.6202,0.2304154,0.1080167,0.0116676,0.295125,0.5273,0.1937,0.0786,0.139875
15,KARAULI,6352,0.1492,0.7793,0.3307446,0.1472092,0.0216706,0.41035,0.7027,0.2744,0.1492,0.2153,2008,Rabi       ,56952,192121,3.373384605,6352,0.106,0.7954,0.3467375,0.1427382,0.0203742,0.4354,0.743,0.29765,0.106,0.2299,6352,0.0904,0.6365,0.228751,0.1174584,0.0137965,0.28785,0.5139,0.1832,0.0904,0.1369,6352,0.0423,0.6615,0.2237474,0.1054548,0.0111207,0.2848,0.5035,0.18675,0.0423,0.1389
17,KARAULI,6352,0.1729,0.7726,0.3679208,0.1267099,0.0160554,0.45845,0.7569,0.33625,0.1729,0.257275,2009,Rabi       ,62737,228085,3.635573904,6352,0.1923,0.801,0.4211901,0.1484561,0.0220392,0.5482,0.801,0.3932,0.1923,0.2818,6352,0.0601,0.5657,0.2313266,0.0913619,0.008347,0.29625,0.5085,0.2076,0.0601,0.1502,6352,0.0797,0.5768,0.266982,0.1125441,0.0126662,0.361125,0.5768,0.2384,0.0797,0.1624
19,KARAULI,6352,0.1624,0.8183,0.3999056,0.1503094,0.0225929,0.51965,0.8183,0.37095,0.1624,0.263775,2010,Rabi       ,73134,285650,3.905844067,6352,0.1955,0.8237,0.4543589,0.155704,0.0242437,0.5836,0.8237,0.42935,0.1955,0.3141,6352,0.0794,0.6045,0.2443111,0.1105026,0.0122108,0.3291,0.6045,0.21665,0.0794,0.1433,6352,0.0885,0.6314,0.2814612,0.1208965,0.014616,0.3786,0.6314,0.25185,0.0885,0.1706
21,KARAULI,6352,0.194,0.8313,0.473767,0.16891,0.0285306,0.623725,0.8313,0.4574,0.194,0.3126,2011,Rabi       ,86163,365854,4.246068498,6352,0.2056,0.8245,0.4812562,0.1451407,0.0210658,0.609,0.8245,0.4666,0.2056,0.3491,6352,0.1032,0.6611,0.3098075,0.141103,0.0199101,0.429425,0.6611,0.28275,0.1032,0.174175,6352,0.0948,0.7127,0.3011503,0.1188382,0.0141225,0.4018,0.7127,0.27645,0.0948,0.1906
23,KARAULI,6352,0.1471,0.7995,0.3981459,0.1440715,0.0207566,0.509525,0.7995,0.37845,0.1471,0.2608,2012,Rabi       ,75295,296883,3.942931138,6352,0.2008,0.7891,0.4313847,0.1408131,0.0198283,0.5475,0.7891,0.41635,0.2008,0.2976,6352,0.0561,0.6136,0.246676,0.1086324,0.011801,0.324825,0.5825,0.2238,0.0561,0.1443,6352,0.0897,0.68,0.2793907,0.1173804,0.0137782,0.369325,0.6524,0.25655,0.0897,0.170175
25,KARAULI,6352,0.1783,0.8462,0.4457696,0.1527692,0.0233384,0.57165,0.8462,0.42135,0.1783,0.3046,2013,Rabi       ,78348,306585,3.913118395,6352,0.1835,0.778,0.4406385,0.1320692,0.0174423,0.554525,0.778,0.41785,0.1835,0.3198,6352,0.0754,0.6778,0.2930325,0.1235743,0.0152706,0.390025,0.6778,0.26505,0.0754,0.1794,6352,0.0698,0.6269,0.2803604,0.0999109,0.0099822,0.360425,0.6071,0.2535,0.0698,0.1915
27,KARAULI,6352,0.1911,0.8388,0.4830469,0.1581416,0.0250088,0.626425,0.8388,0.4797,0.1911,0.326575,2014,Rabi       ,83418,313196,3.75453739,6352,0.2233,0.8347,0.4917463,0.1497201,0.0224161,0.6251,0.8347,0.48415,0.2233,0.348,6352,0.0768,0.6817,0.3059629,0.1351833,0.0182745,0.4243,0.6817,0.2917,0.0768,0.1697,6352,0.071,0.6763,0.3069232,0.1290422,0.0166519,0.417425,0.6763,0.28725,0.071,0.1833
29,KARAULI,6352,0.1846,0.8219,0.4408437,0.1669052,0.0278573,0.58335,0.8219,0.4171,0.1846,0.283,2015,Rabi       ,85169,308964,3.627657951,6352,0.1785,0.8127,0.4639196,0.1630175,0.0265747,0.60545,0.8127,0.4538,0.1785,0.306375,6352,0.0912,0.6455,0.2772292,0.1285337,0.0165209,0.3819,0.6455,0.25,0.0912,0.1556,6352,0.0729,0.6575,0.3000701,0.1353862,0.0183294,0.41135,0.6575,0.2791,0.0729,0.1692
31,KARAULI,6352,0.1538,0.8287,0.4145871,0.1819117,0.0330919,0.559625,0.8287,0.3624,0.1538,0.2488,2016,Rabi       ,78974,279286,3.536429711,6352,0.1721,0.8295,0.4160232,0.1670083,0.0278918,0.5513,0.8295,0.36975,0.1721,0.2651,6352,0.075,0.6249,0.2538503,0.1317829,0.0173667,0.352725,0.6249,0.2075,0.075,0.1372,6352,0.0924,0.6352,0.2611731,0.1256416,0.0157858,0.354,0.6352,0.2173,0.0924,0.1516
33,KARAULI,6352,0.1767,0.834,0.4451882,0.1641421,0.0269426,0.589425,0.834,0.44065,0.1767,0.282,2017,Rabi       ,89193,360710,4.044151447,6352,0.0656,0.8206,0.4791802,0.171637,0.0294593,0.643,0.8206,0.4645,0.0656,0.3078,6352,0.0805,0.6279,0.2817118,0.1248381,0.0155846,0.38785,0.6279,0.26835,0.0805,0.1582,6352,0.0285,0.6898,0.3078834,0.1359656,0.0184866,0.432075,0.6898,0.2804,0.0285,0.174775
35,KARAULI,6352,0.1622,0.7995,0.3806337,0.1663235,0.0276635,0.50715,0.7995,0.3211,0.1622,0.237175,2018,Rabi       ,75421,319581,4.237294653,6352,0.1673,0.8388,0.4020776,0.1677305,0.0281335,0.52035,0.8388,0.35405,0.1673,0.2576,6352,0.089,0.6223,0.2493221,0.1309239,0.0171411,0.3407,0.6223,0.1956,0.089,0.1407,6352,0.0962,0.6495,0.2544241,0.1263075,0.0159536,0.3348,0.614,0.2111,0.0962,0.1484
37,KARAULI,6352,0.1936,0.8198,0.4590224,0.1718139,0.02952,0.6111,0.8198,0.45635,0.1936,0.2853,2019,Rabi       ,77846,346048,4.445289418,6352,0.2051,0.8267,0.4749782,0.1648917,0.0271893,0.625,0.8267,0.4604,0.2051,0.315575,6352,0.0947,0.6872,0.309469,0.1433373,0.0205456,0.43305,0.6872,0.2912,0.0947,0.1657,6352,0.0886,0.6687,0.3137731,0.1357375,0.0184247,0.430725,0.6687,0.2856,0.0886,0.185175
39,KOTA,6893,0.119,0.81,0.4010258,0.1567443,0.0245688,0.5385,0.81,0.3659,0.119,0.2599,2001,Rabi       ,96156,241324,2.509713382,6892,-0.0017,0.7902,0.4217452,0.1534988,0.0235619,0.5524,0.7902,0.39985,-0.0017,0.2824,6893,0.0494,0.6049,0.2592663,0.1142782,0.0130595,0.355,0.6049,0.2291,0.0494,0.1568,6892,-0.0004,0.6147,0.2740933,0.1133359,0.012845,0.36335,0.6147,0.2506,-0.0004,0.173
41,KOTA,6893,0.0523,0.843,0.4427167,0.1780197,0.031691,0.6066,0.843,0.4111,0.0523,0.2819,2002,Rabi       ,79144,227185,2.87052714,6893,0.0451,0.8026,0.4293326,0.1514584,0.0229396,0.5615,0.8026,0.4235,0.0451,0.2975,6893,0.02,0.6475,0.2901344,0.1324819,0.0175514,0.4066,0.6475,0.2593,0.02,0.1697,6893,0.017,0.5752,0.2750759,0.1068796,0.0114232,0.3625,0.5752,0.2643,0.017,0.18
43,KOTA,6893,-0.1539,0.8073,0.3587637,0.1523028,0.0231961,0.4619,0.7934,0.308,-0.0832,0.2362,2003,Rabi       ,50311,141770,2.817872831,6893,0.0463,0.7913,0.3573938,0.134477,0.0180841,0.4493,0.7495,0.3243,0.0463,0.2447,6893,-0.0376,0.6312,0.2308086,0.1194296,0.0142634,0.2979,0.5374,0.1826,-0.0376,0.1379,6893,0.0141,0.6071,0.2160199,0.0910577,0.0082915,0.2678,0.4525,0.1867,0.0141,0.1442
45,KOTA,6893,0.1301,0.8406,0.4317568,0.1723901,0.0297183,0.5894,0.8406,0.3951,0.1301,0.2739,2004,Rabi       ,66760,191358,2.8663571,6893,0.0852,0.7895,0.4533815,0.1675809,0.0280834,0.615,0.7895,0.4328,0.0852,0.3006,6893,0.0622,0.6327,0.2844667,0.1313502,0.0172529,0.4017,0.6327,0.2499,0.0622,0.1651,6893,0.0328,0.5619,0.2793151,0.1151376,0.0132567,0.3814,0.5619,0.2577,0.0328,0.1741
47,KOTA,6893,0.1038,0.8288,0.4458042,0.1747867,0.0305504,0.6051,0.8288,0.4333,0.1038,0.2876,2005,Rabi       ,64902,220058,3.390619704,6893,-0.0218,0.8092,0.4970366,0.1855736,0.0344376,0.6769,0.8092,0.5102,-0.0218,0.3309,6893,0.0396,0.6351,0.2981062,0.1325252,0.0175629,0.4161,0.6351,0.2786,0.0396,0.1745,6893,-0.0079,0.6503,0.3278518,0.1408741,0.0198455,0.459,0.6503,0.3259,-0.0079,0.192
49,KOTA,6893,0.0969,0.8195,0.424626,0.1684551,0.0283771,0.5795,0.8195,0.3974,0.0969,0.2723,2006,Rabi       ,64753,209469,3.234892592,6893,0.1348,0.786,0.4648926,0.1664669,0.0277112,0.6196,0.786,0.4652,0.1348,0.3185,6893,0.0556,0.6034,0.2839348,0.1260315,0.0158839,0.4001,0.6034,0.2565,0.0556,0.1661,6893,0.0519,0.5786,0.3014988,0.119637,0.014313,0.4048,0.5786,0.2961,0.0519,0.1908
51,KOTA,6893,0.0865,0.83,0.4447907,0.1651417,0.0272718,0.5818,0.83,0.431,0.0865,0.3002,2007,Rabi       ,81551,296388,3.634388297,6893,-0.0322,0.8378,0.4974622,0.1865307,0.0347937,0.6719,0.8378,0.5045,-0.0322,0.3333,6893,0.0297,0.6413,0.2738722,0.1125934,0.0126773,0.3618,0.6413,0.2581,0.0297,0.1742,6893,-0.0068,0.6554,0.3346784,0.1427548,0.0203789,0.4625,0.6554,0.3309,-0.0068,0.2022
53,KOTA,6893,0.1112,0.8425,0.4518325,0.1853013,0.0343366,0.6193,0.8425,0.4283,0.1112,0.2853,2008,Rabi       ,110050,398747,3.623325761,6893,-0.0235,0.8361,0.4745471,0.1772621,0.0314219,0.6345,0.8361,0.4782,-0.0235,0.3169,6893,0.0536,0.635,0.303732,0.1434942,0.0205906,0.431,0.635,0.2803,0.0536,0.1688,6893,-0.0068,0.6227,0.302863,0.1279918,0.0163819,0.412,0.6227,0.2957,-0.0068,0.1846
55,KOTA,6893,0.1315,0.8206,0.4531019,0.1695355,0.0287423,0.6007,0.8206,0.4462,0.1315,0.3031,2009,Rabi       ,86611,320290,3.698029119,6893,0.1379,0.8252,0.5150151,0.1745718,0.0304753,0.6731,0.8252,0.5443,0.1379,0.3686,6893,0.0654,0.6036,0.2901507,0.1252462,0.0156866,0.3976,0.6036,0.2757,0.0654,0.1735,6893,0.0565,0.6177,0.3145626,0.1239919,0.015374,0.4251,0.6177,0.3252,0.0565,0.197
57,KOTA,6893,0.1328,0.8416,0.4527245,0.1785638,0.031885,0.6117,0.8416,0.4361,0.1328,0.2969,2010,Rabi       ,91999,325222,3.535060164,6893,0.1136,0.8293,0.5143398,0.1755825,0.0308292,0.6766,0.8293,0.5321,0.1136,0.3681,6893,0.0786,0.625,0.2825755,0.1324218,0.0175355,0.3928,0.625,0.2561,0.0786,0.1637,6893,0.0653,0.603,0.3161445,0.1251303,0.0156576,0.4291,0.603,0.321,0.0653,0.2014
59,KOTA,6893,0.1403,0.841,0.488629,0.1897865,0.0360189,0.6598,0.841,0.4722,0.1403,0.3242,2011,Rabi       ,115280,411409,3.568780361,6893,0.1513,0.8109,0.4892886,0.1574917,0.0248036,0.6273,0.8109,0.5041,0.1513,0.3603,6893,0.0903,0.6951,0.333424,0.158084,0.0249905,0.4694,0.6951,0.3097,0.0903,0.1862,6893,0.0783,0.6028,0.2968096,0.1121396,0.0125753,0.389,0.6028,0.2998,0.0783,0.1957
61,KOTA,6893,0.1404,0.8289,0.4909848,0.1698281,0.0288416,0.638,0.8289,0.5048,0.1404,0.347,2012,Rabi       ,111785,467738,4.184264436,6892,-0.0513,0.8398,0.5213936,0.15812,0.0250019,0.6501,0.8398,0.54815,0.1452,0.398675,6893,0.051,0.6307,0.3205322,0.129277,0.0167125,0.4319,0.6307,0.3216,0.051,0.1986,6892,-0.0187,0.6967,0.3420303,0.1222526,0.0149457,0.435725,0.6967,0.35,-0.0187,0.236975
63,KOTA,6893,0.1547,0.8704,0.5201643,0.1913999,0.0366339,0.6918,0.8704,0.5223,0.1547,0.3492,2013,Rabi       ,127996,541271,4.228811838,6893,0.0861,0.8225,0.5140681,0.1695162,0.0287357,0.6647,0.8225,0.5377,0.0861,0.3722,6893,0.0843,0.678,0.3579792,0.1537258,0.0236316,0.496,0.678,0.3472,0.0843,0.2129,6893,0.034,0.6747,0.3345405,0.1229295,0.0151117,0.4405,0.6747,0.3415,0.034,0.2215
65,KOTA,6893,0.0703,0.8858,0.5875883,0.1945151,0.0378361,0.7575,0.8858,0.6183,0.0703,0.428,2014,Rabi       ,138008,553604,4.011390644,6893,-0.0525,0.8645,0.5899031,0.1824684,0.0332947,0.7443,0.8645,0.6369,0.0268,0.4569,6893,0.0134,0.7483,0.40175,0.1791053,0.0320787,0.5585,0.7483,0.4054,0.0134,0.2325,6893,-0.0132,0.6863,0.3814024,0.1571555,0.0246978,0.5149,0.6863,0.4015,-0.0132,0.2357
67,KOTA,6893,-0.0759,0.8487,0.5449831,0.1899072,0.0360648,0.7141,0.8487,0.5687,-0.0759,0.3954,2015,Rabi       ,135748,279120,2.05616289,6893,-0.0458,0.8526,0.5606071,0.1744896,0.0304466,0.706,0.8526,0.5965,0.1,0.4387,6893,-0.0207,0.6592,0.3539004,0.1530963,0.0234385,0.4897,0.6592,0.3559,-0.0207,0.2141,6893,-0.0096,0.7046,0.3476218,0.1360199,0.0185014,0.4532,0.7046,0.3562,-0.0096,0.2339
69,KOTA,6893,0.1338,0.8701,0.524734,0.1944905,0.0378266,0.703,0.8701,0.5431,0.1338,0.3522,2016,Rabi       ,120081,468840,3.904364554,6893,0.1029,0.8579,0.5230988,0.1724467,0.0297379,0.6735,0.8579,0.5506,0.1029,0.3835,6893,0.0632,0.7013,0.3398072,0.1463799,0.0214271,0.4709,0.7013,0.337,0.0632,0.1989,6893,0.0331,0.6677,0.3331903,0.1247081,0.0155521,0.4377,0.6677,0.3413,0.0331,0.2215
71,KOTA,6893,0.1191,0.8583,0.5424381,0.1947672,0.0379343,0.7282,0.8583,0.5541,0.1191,0.374,2017,Rabi       ,141604,622806,4.398223214,6893,-0.0177,0.8752,0.5654377,0.1835787,0.0337011,0.73,0.8752,0.6043,-0.0177,0.4214,6893,0.052,0.6857,0.358873,0.1505319,0.0226599,0.4991,0.6857,0.3576,0.052,0.2147,6893,-0.004,0.7216,0.3572793,0.1364476,0.018618,0.4776,0.7216,0.3747,-0.004,0.2298
73,KOTA,6893,0.1235,0.8454,0.498886,0.1933862,0.0373982,0.6753,0.8454,0.5025,0.1235,0.325,2018,Rabi       ,120490,502518,4.170619968,6893,0.1182,0.8652,0.5239673,0.1781282,0.0317297,0.6766,0.8652,0.5512,0.1182,0.3769,6893,0.069,0.6457,0.3323654,0.1510409,0.0228133,0.4686,0.6457,0.3248,0.069,0.188,6893,0.0679,0.6231,0.3230225,0.1247419,0.0155605,0.4275,0.6231,0.3318,0.0679,0.2082
75,KOTA,6893,0.1513,0.8717,0.5636575,0.1964225,0.0385818,0.7439,0.8717,0.5911,0.1513,0.4035,2019,Rabi       ,142148,666856,4.691279511,6893,0.0079,0.8765,0.5609158,0.1767773,0.0312502,0.7087,0.8765,0.6065,0.1353,0.4301,6893,0.0547,0.7316,0.4044859,0.169029,0.0285708,0.5613,0.7316,0.4123,0.0547,0.2427,6893,0.002,0.7168,0.3610145,0.1340868,0.0179793,0.4695,0.7168,0.3803,0.002,0.2425
77,NAGAUR,21134,0.0343,0.7052,0.2148874,0.0903955,0.0081713,0.2466,0.3885,0.1853,0.0343,0.1519,2001,Rabi       ,91912,184326,2.005461746,21134,0.0062,0.7164,0.2156615,0.0835166,0.006975,0.244775,0.3746,0.19,0.0392,0.1582,21134,0.0268,0.5265,0.1454615,0.0624351,0.0038981,0.1673,0.2648,0.1226,0.0268,0.1023,21134,0.0057,0.5102,0.141495,0.0560047,0.0031365,0.1601,0.2445,0.1219,0.023,0.1038
79,NAGAUR,21134,-0.1152,0.6794,0.226806,0.1004652,0.0100933,0.2569,0.4017,0.1909,0.026,0.1603,2002,Rabi       ,69514,179307,2.579437236,21134,-0.0305,0.6809,0.2269419,0.0833311,0.0069441,0.253975,0.3769,0.20135,0.0519,0.172,21134,-0.0424,0.5152,0.1515338,0.0697434,0.0048641,0.170475,0.2658,0.1247,0.0155,0.1068,21134,-0.0166,0.4743,0.1466654,0.0542802,0.0029463,0.1622,0.2376,0.1282,0.0376,0.1119
81,NAGAUR,21134,-0.1591,0.7088,0.194915,0.1035897,0.0107308,0.2205,0.3606,0.1566,0.012,0.1271,2003,Rabi       ,85412,189465,2.218248021,21134,-0.0401,0.6984,0.1993432,0.0921134,0.0084849,0.2253,0.3588,0.1707,0.0063,0.1363,21134,-0.0536,0.5619,0.1345689,0.0709874,0.0050392,0.1512,0.2432,0.1072,0.0052,0.0898,21134,-0.0175,0.5014,0.130283,0.0614385,0.0037747,0.1464,0.2305,0.1086,0.0193,0.0903
83,NAGAUR,21133,-0.1972,0.7071,0.2446221,0.1103717,0.0121819,0.2827,0.4533,0.2074,0.0356,0.1689,2004,Rabi       ,74768,201871,2.699965226,21127,-0.1854,0.7363,0.2518367,0.1039124,0.0107978,0.28565,0.4387,0.2189,0.0331,0.1836,21133,-0.0684,0.5341,0.1644631,0.076891,0.0059122,0.1891,0.3045,0.1359,-0.001,0.1121,21127,-0.061,0.5358,0.1663221,0.0709484,0.0050337,0.1889,0.2943,0.1434,0.0139,0.1186
85,NAGAUR,21134,0.0329,0.6974,0.2329377,0.1182998,0.0139948,0.2761,0.4675,0.1878,0.0329,0.1485,2005,Rabi       ,69640,141396,2.030384836,21134,0.0319,0.7461,0.2412397,0.1172485,0.0137472,0.287775,0.4807,0.1975,0.0319,0.159,21134,0.0225,0.5092,0.156801,0.0832837,0.0069362,0.185575,0.3155,0.1231,0.0225,0.0989,21134,0.0222,0.5581,0.1583056,0.0807584,0.0065219,0.1869,0.3136,0.12525,0.0222,0.1024
87,NAGAUR,21134,0.0454,0.6845,0.2228099,0.1001544,0.0100309,0.2518,0.3965,0.1871,0.0454,0.1553,2006,Rabi       ,71316,163469,2.292178473,21134,0.029,0.7093,0.2298547,0.1028676,0.0105817,0.261,0.4126,0.19285,0.029,0.1599,21134,0.0325,0.5157,0.1507647,0.0683824,0.0046762,0.170175,0.2668,0.1237,0.0325,0.1057,21134,0.0207,0.5329,0.1541723,0.070534,0.004975,0.1739,0.2732,0.12675,0.0207,0.1077
89,NAGAUR,21134,0.0233,0.7221,0.2181771,0.1167381,0.0136278,0.2467,0.4028,0.1783,0.0233,0.1426,2007,Rabi       ,76384,165160,2.162232928,21134,0.0122,0.7514,0.2240989,0.106268,0.0112929,0.253875,0.3992,0.1878,0.0122,0.156925,21134,0.0101,0.5159,0.1438511,0.080364,0.0064584,0.1624,0.2675,0.1163,0.0101,0.0923,21134,0.0045,0.5343,0.1480513,0.0724465,0.0052485,0.167,0.2636,0.1213,0.0136,0.1025
91,NAGAUR,21134,0.0309,0.7303,0.2241378,0.1104699,0.0122036,0.2466,0.387,0.18615,0.0309,0.1529,2008,Rabi       ,79567,161304,2.027272613,21134,0.0403,0.7277,0.2252411,0.1025798,0.0105226,0.2433,0.3676,0.1901,0.0403,0.1604,21134,0.0234,0.534,0.1539282,0.0785034,0.0061628,0.1684,0.2635,0.1241,0.0234,0.105,21134,0.0205,0.5654,0.151348,0.0712815,0.0050811,0.1626,0.2451,0.1249,0.0303,0.1076
93,NAGAUR,21134,-0.1237,0.6981,0.2177637,0.0996893,0.009938,0.2389,0.3628,0.1859,0.0419,0.1562,2009,Rabi       ,67100,173274,2.582324888,21128,-0.1978,0.7424,0.2349313,0.1066384,0.0113717,0.2624,0.4049,0.19945,0.0265,0.1674,21134,-0.0519,0.5564,0.1456589,0.069069,0.0047705,0.1591,0.2435,0.1226,0.0225,0.1028,21128,-0.0816,0.5666,0.1555522,0.0737083,0.0054329,0.1714,0.2644,0.1299,0.0167,0.1094
95,NAGAUR,21134,0.0342,0.7376,0.2057233,0.1054136,0.011112,0.2218,0.3439,0.1685,0.0342,0.1404,2010,Rabi       ,77165,194171,2.516309208,21134,0.0143,0.7355,0.2105001,0.1040708,0.0108307,0.2287,0.3528,0.1743,0.0321,0.1459,21134,0.0243,0.5331,0.1372684,0.0721894,0.0052113,0.1476,0.2277,0.1088,0.0243,0.0942,21134,0.01,0.5642,0.1376963,0.0705954,0.0049837,0.1483,0.2264,0.1102,0.0223,0.0962
97,NAGAUR,21130,-0.1603,0.7642,0.2686676,0.1220197,0.0148888,0.3306,0.5676,0.2357,-0.0565,0.1726,2011,Rabi       ,77362,194987,2.520449316,21121,-0.1756,0.6495,0.2509176,0.0961211,0.0092393,0.3003,0.4858,0.2255,-0.0066,0.1766,21130,-0.0734,0.5461,0.1750421,0.0856124,0.0073295,0.2139,0.3705,0.1495,-0.0391,0.1095,21121,-0.0797,0.4574,0.1572039,0.0623434,0.0038867,0.1857,0.2991,0.1385,-0.0033,0.1101
99,NAGAUR,21134,-0.0682,0.7028,0.2301147,0.0815669,0.0066532,0.2475,0.3408,0.2082,0.0922,0.1853,2012,Rabi       ,56807,142524,2.508916155,21132,-0.1039,0.5925,0.2369385,0.0673976,0.0045424,0.254,0.3365,0.2236,0.1165,0.199,21134,-0.026,0.5117,0.1566809,0.0566125,0.003205,0.1679,0.2313,0.1411,0.0629,0.1256,21132,-0.039,0.4113,0.1557746,0.043624,0.0019031,0.1673,0.2222,0.1474,0.0763,0.1307
101,NAGAUR,21115,-0.1977,0.7482,0.2507907,0.1166299,0.0136025,0.2996,0.4988,0.2148,-0.0279,0.1667,2013,Rabi       ,83768,212344,2.534905931,21101,-0.1877,0.6208,0.2468853,0.0865412,0.0074894,0.2888,0.4443,0.2235,0.0316,0.1851,21115,-0.077,0.5931,0.1739037,0.0847473,0.0071821,0.2048,0.3377,0.146,-0.0167,0.1161,21101,-0.0817,0.4609,0.1613885,0.0566559,0.0032099,0.1874,0.2867,0.1458,0.0223,0.1212
103,NAGAUR,21134,0.0106,0.7683,0.2806139,0.1179571,0.0139139,0.348275,0.5854,0.25255,0.0106,0.19,2014,Rabi       ,75548,189555,2.509067083,21134,0.0394,0.7555,0.2775975,0.1025069,0.0105077,0.344,0.5626,0.2547,0.0394,0.1982,21134,0.0078,0.565,0.1851132,0.0817752,0.0066872,0.2261,0.3787,0.16215,0.0078,0.1243,21134,0.0236,0.5443,0.1757293,0.0658545,0.0043368,0.2145,0.3473,0.1585,0.0236,0.1258
105,NAGAUR,21134,-0.0124,0.7153,0.2445985,0.0974039,0.0094875,0.2808,0.432,0.2124,0.0412,0.1797,2015,Rabi       ,71637,161510,2.25456119,21134,-0.0846,0.6916,0.2523777,0.0836197,0.0069922,0.2857,0.4165,0.2283,0.0695,0.1985,21134,-0.006,0.5301,0.1622495,0.0673087,0.0045305,0.1844,0.2844,0.1389,0.0283,0.1177,21134,-0.0352,0.4859,0.1616802,0.0538589,0.0029008,0.1809,0.2623,0.1458,0.0455,0.1266
107,NAGAUR,21134,0.0237,0.7681,0.2465536,0.0986185,0.0097256,0.275,0.4068,0.215,0.056,0.1871,2016,Rabi       ,60279,160235,2.658222598,21134,0.0263,0.7533,0.2482203,0.0873579,0.0076314,0.2731,0.3869,0.2227,0.0844,0.1972,21134,0.0169,0.572,0.1640677,0.0685411,0.0046979,0.182075,0.2708,0.141,0.0347,0.1229,21134,0.0189,0.5922,0.163066,0.0602307,0.0036277,0.1784,0.2545,0.1451,0.0517,0.1276
